FullDate,Category,AvgStock,AvgDOH,StockoutRate,AvgUnitCost,AvgInventoryValue,GMROI
2019-01-18,Towing,219,41,219,618.570000,135466.830000,0.007372
2019-01-19,Exterior,235,38,235,633.272500,148819.037500,0.027689
2019-01-19,Interior,111,52,111,722.603333,80208.969963,0.024107
2019-01-19,Lighting,217,39,217,542.490000,117720.330000,0.009582
2019-01-19,Performance,214,37,214,1204.720000,257810.080000,0.013289
2019-01-19,Suspension,197,47,197,99.570000,19615.290000,0.052982
2019-01-20,Exterior,211,67,211,670.048333,141380.198263,0.052813
2019-01-20,Performance,143,44,143,822.150000,117567.450000,0.032895
2019-01-20,Suspension,178,20,178,897.593333,159771.613274,0.004939
2019-01-21,Exterior,178,34,178,585.260000,104176.280000,0.031584
2019-01-21,Performance,155,42,155,871.222500,135039.487500,0.029269
2019-01-21,Suspension,229,19,229,401.720000,91993.880000,0.019388
2019-01-21,Towing,188,56,188,753.956000,141743.728000,0.005401
2019-01-22,Exterior,96,32,96,1418.580000,136183.680000,0.017364
2019-01-22,Interior,202,34,202,855.793333,172870.253266,0.005914
2019-01-22,Performance,398,32,398,1878.060000,747467.880000,0.001909
2019-01-22,Suspension,209,47,209,805.943333,168442.156597,0.010818
2019-01-22,Towing,242,55,242,700.455000,169510.110000,0.015568
2019-01-23,Exterior,195,45,195,710.006666,138451.299870,0.017257
2019-01-23,Interior,190,47,190,564.220000,107201.800000,0.008192
2019-01-23,Lighting,95,81,95,136.360000,12954.200000,0.208434
2019-01-23,Performance,316,25,316,436.485000,137929.260000,0.022840
2019-01-23,Suspension,274,12,274,141.530000,38779.220000,0.054675
2019-01-23,Towing,161,73,161,571.730000,92048.530000,0.020075
2019-01-24,Exterior,127,42,127,819.408000,104064.816000,0.013504
2019-01-24,Interior,6,74,6,1017.250000,6103.500000,0.306371
2019-01-24,Lighting,216,67,216,864.346666,186698.879856,0.008409
2019-01-24,Performance,228,44,228,760.982500,173504.010000,0.017038
2019-01-24,Suspension,83,28,83,1252.690000,103973.270000,0.009641
2019-01-25,Exterior,47,62,47,1395.530000,65589.910000,0.041865
2019-01-25,Interior,295,84,295,1097.410000,323735.950000,0.003378
2019-01-25,Lighting,45,78,45,1118.660000,50339.700000,0.028595
2019-01-25,Performance,203,27,203,883.708000,179392.724000,0.014364
2019-01-25,Suspension,232,22,232,584.046666,135498.826512,-0.000347
2019-01-25,Towing,211,78,211,460.770000,97222.470000,0.010153
2019-01-26,Exterior,275,64,275,247.396666,68034.083150,0.044096
2019-01-26,Interior,251,48,251,206.920000,51936.920000,0.048025
2019-01-26,Lighting,273,48,273,196.900000,53753.700000,0.013533
2019-01-26,Performance,214,41,214,475.215000,101696.010000,0.016656
2019-01-26,Suspension,275,34,275,621.070000,170794.250000,0.012734
2019-01-27,Exterior,160,52,160,378.940000,60630.400000,0.036081
2019-01-27,Interior,17,13,17,1495.730000,25427.410000,0.047606
2019-01-27,Lighting,112,37,112,834.640000,93479.680000,0.006906
2019-01-27,Performance,232,33,232,712.663333,165337.893256,0.012466
2019-01-27,Towing,326,15,326,622.530000,202944.780000,0.004685
2019-01-28,Exterior,219,41,219,816.735000,178864.965000,0.018737
2019-01-28,Interior,153,12,153,541.500000,82849.500000,0.010292
2019-01-28,Lighting,375,42,375,701.520000,263070.000000,0.002598
2019-01-28,Performance,211,48,211,810.160000,170943.760000,0.042511
2019-01-28,Suspension,87,42,87,250.560000,21798.720000,0.114468
2019-01-28,Towing,202,34,202,585.127500,118195.755000,0.014694
2019-01-29,Exterior,192,40,192,123.995000,23807.040000,0.158495
2019-01-29,Interior,72,46,72,712.725000,51316.200000,0.022986
2019-01-29,Lighting,188,30,188,727.580000,136785.040000,0.010113
2019-01-29,Performance,218,51,218,656.340000,143082.120000,0.010458
2019-01-29,Suspension,351,1,351,323.730000,113629.230000,0.007724
2019-01-29,Towing,105,63,105,199.630000,20961.150000,0.062957
2019-01-30,Exterior,61,44,61,356.990000,21776.390000,0.244874
2019-01-30,Interior,252,63,252,531.750000,134001.000000,0.007645
2019-01-30,Lighting,141,77,141,656.690000,92593.290000,0.011014
2019-01-30,Performance,169,46,169,337.845000,57095.805000,0.046996
2019-01-30,Suspension,231,46,231,839.508000,193926.348000,0.003471
2019-01-30,Towing,203,63,203,926.720000,188124.160000,0.012634
2019-01-31,Exterior,251,43,251,899.648571,225811.791321,0.020342
2019-01-31,Interior,234,50,234,512.170000,119847.780000,0.014548
2019-01-31,Lighting,218,35,218,907.605000,197857.890000,0.009829
2019-01-31,Performance,179,36,179,574.720000,102874.880000,0.031872
2019-01-31,Suspension,20,58,20,685.990000,13719.800000,0.227549
2019-01-31,Towing,391,48,391,934.870000,365534.170000,0.008709
2019-02-01,Exterior,191,23,191,616.052000,117665.932000,0.020467
2019-02-01,Interior,256,84,256,90.920000,23275.520000,0.165000
2019-02-01,Lighting,337,6,337,771.740000,260076.380000,0.007051
2019-02-01,Performance,241,76,241,812.800000,195884.800000,0.008661
2019-02-01,Towing,266,23,266,751.760000,199968.160000,0.002360
2019-02-02,Exterior,315,26,315,859.813333,270841.199895,0.007260
2019-02-02,Lighting,269,18,269,721.840000,194174.960000,0.006682
2019-02-02,Performance,297,69,297,1026.400000,304840.800000,0.015627
2019-02-02,Towing,172,33,172,1057.230000,181843.560000,-0.000193
2019-02-03,Exterior,291,49,291,691.115000,201114.465000,0.016346
2019-02-03,Performance,267,56,267,914.175000,244084.725000,0.005609
2019-02-03,Suspension,175,52,175,758.870000,132802.250000,0.011974
2019-02-04,Exterior,187,37,187,1019.230000,190596.010000,0.015790
2019-02-04,Lighting,134,48,134,538.310000,72133.540000,0.034394
2019-02-04,Performance,221,36,221,686.715000,151764.015000,0.009017
2019-02-04,Suspension,293,62,293,679.070000,198967.510000,0.008032
2019-02-05,Exterior,252,65,252,457.155000,115203.060000,0.022817
2019-02-05,Interior,205,33,205,414.145000,84899.725000,NULL
2019-02-05,Lighting,106,38,106,982.675000,104163.550000,0.008346
2019-02-05,Performance,0,13,0,1072.590000,0.000000,NULL
2019-02-05,Towing,130,18,130,1275.100000,165763.000000,0.014805
2019-02-06,Exterior,230,81,230,520.130000,119629.900000,0.020396
2019-02-06,Interior,43,18,43,106.850000,4594.550000,0.297598
2019-02-06,Lighting,276,62,276,1192.430000,329110.680000,0.010257
2019-02-06,Performance,202,46,202,438.250000,88526.500000,0.022299
2019-02-06,Suspension,322,77,322,1136.260000,365875.720000,0.005017
2019-02-06,Towing,353,49,353,736.700000,260055.100000,0.002792
2019-02-07,Exterior,314,76,314,563.220000,176851.080000,0.017357
2019-02-07,Interior,217,1,217,679.900000,147538.300000,0.012486
2019-02-07,Lighting,336,61,336,580.016666,194885.599776,0.004470
2019-02-07,Performance,276,33,276,732.513333,202173.679908,0.013872
2019-02-07,Suspension,175,5,175,634.490000,111035.750000,0.016911
2019-02-07,Towing,166,62,166,307.980000,51124.680000,0.038263
2019-02-08,Exterior,126,42,126,649.850000,81881.100000,0.054107
2019-02-08,Interior,76,89,76,321.130000,24405.880000,0.026736
2019-02-08,Performance,349,20,349,259.160000,90446.840000,0.032981
2019-02-08,Suspension,107,42,107,488.206666,52238.113262,0.032849
2019-02-08,Towing,100,61,100,654.295000,65429.500000,0.025915
2019-02-09,Exterior,141,79,141,821.975000,115898.475000,0.042652
2019-02-09,Interior,135,43,135,1864.900000,251761.500000,0.003927
2019-02-09,Lighting,171,43,171,703.960000,120377.160000,-0.000165
2019-02-09,Performance,191,37,191,814.206000,155513.346000,0.029593
2019-02-10,Exterior,149,71,149,449.587500,66988.537500,0.052721
2019-02-10,Interior,377,70,377,1133.570000,427355.890000,0.002139
2019-02-10,Lighting,188,25,188,742.492500,139588.590000,0.017275
2019-02-10,Performance,168,29,168,807.506666,135661.119888,0.024184
2019-02-10,Suspension,147,37,147,229.240000,33698.280000,0.007154
2019-02-10,Towing,59,60,59,738.900000,43595.100000,0.076823
2019-02-11,Exterior,141,60,141,865.952500,122099.302500,0.019652
2019-02-11,Interior,282,47,282,719.705000,202956.810000,0.001857
2019-02-11,Lighting,364,3,364,1102.650000,401364.600000,0.004293
2019-02-11,Performance,161,43,161,561.891666,90464.558226,0.034354
2019-02-11,Towing,53,29,53,480.620000,25472.860000,0.109659
2019-02-12,Exterior,165,22,165,883.430000,145765.950000,0.016011
2019-02-12,Interior,2,71,2,721.660000,1443.320000,2.125121
2019-02-12,Lighting,235,61,235,710.875000,167055.625000,0.003714
2019-02-12,Performance,266,49,266,678.310000,180430.460000,0.034777
2019-02-13,Exterior,10,83,10,960.080000,9600.800000,0.342254
2019-02-13,Interior,168,34,168,1133.570000,190439.760000,0.001349
2019-02-13,Lighting,213,63,213,397.260000,84616.380000,0.026178
2019-02-13,Performance,113,13,113,513.230000,57994.990000,0.049478
2019-02-13,Suspension,200,59,200,1020.483333,204096.666600,0.005727
2019-02-13,Towing,306,72,306,782.490000,239441.940000,0.009050
2019-02-14,Exterior,141,47,141,698.403333,98474.869953,0.006250
2019-02-14,Interior,198,43,198,722.926666,143139.479868,0.016114
2019-02-14,Lighting,150,46,150,488.925000,73338.750000,0.009287
2019-02-14,Performance,137,48,137,828.385000,113488.745000,0.016185
2019-02-14,Suspension,275,75,275,642.470000,176679.250000,0.010531
2019-02-14,Towing,142,74,142,946.620000,134420.040000,0.009842
2019-02-15,Exterior,103,34,103,772.463333,79563.723299,0.039215
2019-02-15,Interior,256,42,256,1511.296666,386891.946496,0.004721
2019-02-15,Lighting,277,47,277,214.710000,59474.670000,0.017494
2019-02-15,Performance,264,50,264,474.446666,125253.919824,0.032240
2019-02-15,Suspension,143,68,143,797.745000,114077.535000,0.011546
2019-02-15,Towing,147,55,147,472.820000,69504.540000,0.029639
2019-02-16,Exterior,51,27,51,1200.310000,61215.810000,0.080892
2019-02-16,Interior,178,59,178,877.550000,156203.900000,0.018939
2019-02-16,Performance,142,44,142,558.290000,79277.180000,0.024529
2019-02-16,Suspension,177,21,177,1133.620000,200650.740000,0.004850
2019-02-16,Towing,136,47,136,694.535000,94456.760000,0.025487
2019-02-17,Exterior,217,25,217,516.906666,112168.746522,0.016656
2019-02-17,Interior,93,45,93,821.800000,76427.400000,0.017780
2019-02-17,Lighting,184,50,184,743.846666,136867.786544,0.005551
2019-02-17,Performance,138,58,138,746.140000,102967.320000,0.020560
2019-02-18,Exterior,260,51,260,524.240000,136302.400000,0.014432
2019-02-18,Interior,146,31,146,876.190000,127923.740000,0.021373
2019-02-18,Performance,35,57,35,366.010000,12810.350000,0.198439
2019-02-18,Suspension,245,49,245,452.845000,110947.025000,0.015431
2019-02-19,Exterior,241,43,241,711.190000,171396.790000,0.003208
2019-02-19,Interior,136,30,136,544.706000,74080.016000,NULL
2019-02-19,Lighting,309,12,309,514.205000,158889.345000,0.007105
2019-02-19,Performance,247,44,247,724.741428,179011.132716,0.023734
2019-02-19,Suspension,276,21,276,847.900000,234020.400000,0.002262
2019-02-19,Towing,286,52,286,535.785000,153234.510000,0.015374
2019-02-20,Exterior,245,49,245,430.996000,105594.020000,0.024473
2019-02-20,Interior,155,43,155,707.727500,109697.762500,0.004406
2019-02-20,Lighting,197,31,197,1034.150000,203727.550000,0.005070
2019-02-20,Performance,198,12,198,677.990000,134242.020000,0.032961
2019-02-20,Suspension,207,72,207,1319.430000,273122.010000,0.009535
2019-02-21,Exterior,113,23,113,665.856666,75241.803258,0.010207
2019-02-21,Lighting,314,60,314,895.475000,281179.150000,0.004720
2019-02-21,Performance,265,34,265,425.680000,112805.200000,0.018892
2019-02-21,Suspension,131,64,131,554.137500,72592.012500,0.009070
2019-02-22,Exterior,151,41,151,1064.343333,160715.843283,0.025046
2019-02-22,Interior,206,45,206,685.412500,141194.975000,0.011488
2019-02-22,Lighting,58,71,58,1180.480000,68467.840000,0.040149
2019-02-22,Performance,133,48,133,725.504000,96492.032000,0.021453
2019-02-22,Suspension,163,50,163,1034.825000,168676.475000,0.012673
2019-02-22,Towing,295,14,295,489.320000,144349.400000,0.015305
2019-02-23,Exterior,256,57,256,1025.520000,262533.120000,0.008541
2019-02-23,Interior,217,41,217,531.325000,115297.525000,0.009977
2019-02-23,Lighting,34,11,34,541.750000,18419.500000,0.127945
2019-02-23,Performance,224,44,224,555.965000,124536.160000,0.020673
2019-02-23,Suspension,183,81,183,123.150000,22536.450000,0.057866
2019-02-23,Towing,180,58,180,211.900000,38142.000000,0.029367
2019-02-24,Exterior,262,54,262,698.525000,183013.550000,0.030480
2019-02-24,Interior,340,59,340,586.040000,199253.600000,0.006445
2019-02-24,Lighting,106,87,106,382.840000,40581.040000,0.032010
2019-02-24,Performance,297,49,297,1158.205000,343986.885000,0.011918
2019-02-24,Suspension,188,52,188,623.200000,117161.600000,0.001451
2019-02-24,Towing,180,59,180,319.380000,57488.400000,0.035806
2019-02-25,Exterior,140,51,140,847.704000,118678.560000,0.021541
2019-02-25,Interior,239,49,239,946.485000,226209.915000,0.010611
2019-02-25,Lighting,153,12,153,1101.960000,168599.880000,0.001865
2019-02-25,Performance,149,37,149,841.723333,125416.776617,0.028738
2019-02-25,Suspension,55,41,55,523.233333,28777.833315,0.017457
2019-02-25,Towing,161,13,161,379.795000,61146.995000,0.033909
2019-02-26,Exterior,180,50,180,132.860000,23914.800000,0.166741
2019-02-26,Interior,110,27,110,1126.305000,123893.550000,0.011352
2019-02-26,Lighting,18,35,18,148.560000,2674.080000,0.688434
2019-02-26,Performance,111,55,111,213.800000,23731.800000,0.084998
2019-02-26,Suspension,239,66,239,604.155000,144393.045000,0.015859
2019-02-26,Towing,78,87,78,751.770000,58638.060000,0.002633
2019-02-27,Exterior,288,31,288,875.465000,252133.920000,0.022550
2019-02-27,Interior,384,88,384,771.070000,296090.880000,0.006002
2019-02-27,Performance,97,22,97,713.835000,69241.995000,0.073568
2019-02-27,Suspension,95,44,95,398.490000,37856.550000,0.020906
2019-02-27,Towing,160,39,160,715.200000,114432.000000,0.014564
2019-02-28,Exterior,76,31,76,542.600000,41237.600000,0.023881
2019-02-28,Interior,130,54,130,599.045000,77875.850000,0.015820
2019-02-28,Lighting,267,49,267,1090.835000,291252.945000,0.000039
2019-02-28,Performance,49,53,49,539.406666,26430.926634,0.062651
2019-02-28,Suspension,360,65,360,1135.240000,408686.400000,0.005994
2019-03-01,Exterior,149,60,149,640.896000,95493.504000,0.019540
2019-03-01,Interior,179,30,179,746.585000,133638.715000,0.020492
2019-03-01,Lighting,134,21,134,509.827500,68316.885000,0.014515
2019-03-01,Performance,169,41,169,576.440000,97418.360000,0.045728
2019-03-01,Suspension,266,48,266,979.975000,260673.350000,0.006865
2019-03-01,Towing,355,59,355,533.220000,189293.100000,0.003364
2019-03-02,Exterior,255,45,255,737.306666,188013.199830,0.015429
2019-03-02,Interior,349,47,349,453.030000,158107.470000,0.011373
2019-03-02,Performance,342,47,342,776.370000,265518.540000,0.007737
2019-03-02,Towing,149,47,149,621.100000,92543.900000,0.001827
2019-03-03,Exterior,222,50,222,560.075000,124336.650000,0.034676
2019-03-03,Interior,311,73,311,609.190000,189458.090000,0.012580
2019-03-03,Lighting,153,38,153,489.610000,74910.330000,0.027698
2019-03-03,Performance,63,16,63,920.975000,58021.425000,0.024144
2019-03-03,Suspension,284,29,284,943.185000,267864.540000,0.011462
2019-03-03,Towing,185,36,185,853.513333,157899.966605,0.011397
2019-03-04,Exterior,248,29,248,355.710000,88216.080000,0.046520
2019-03-04,Interior,121,28,121,812.493333,98311.693293,0.016346
2019-03-04,Performance,207,6,207,268.120000,55500.840000,0.032323
2019-03-04,Suspension,71,77,71,324.145000,23014.295000,0.063223
2019-03-05,Exterior,243,10,243,461.865000,112233.195000,0.036776
2019-03-05,Interior,219,45,219,1137.436666,249098.629854,0.012131
2019-03-05,Lighting,213,69,213,622.910000,132679.830000,0.017626
2019-03-05,Performance,291,56,291,1071.350000,311762.850000,0.019200
2019-03-05,Suspension,332,77,332,643.870000,213764.840000,0.004032
2019-03-05,Towing,317,33,317,840.623333,266477.596561,0.006695
2019-03-06,Exterior,198,52,198,270.325000,53524.350000,0.079218
2019-03-06,Interior,264,37,264,1196.500000,315876.000000,0.009011
2019-03-06,Lighting,142,24,142,1010.966666,143557.266572,0.005649
2019-03-06,Performance,220,49,220,882.575000,194166.500000,0.020393
2019-03-06,Suspension,304,75,304,374.770000,113930.080000,0.016403
2019-03-06,Towing,289,54,289,490.600000,141783.400000,0.012461
2019-03-07,Exterior,259,34,259,710.620000,184050.580000,0.011869
2019-03-07,Interior,143,40,143,837.060000,119699.580000,0.015502
2019-03-07,Lighting,199,33,199,1172.840000,233395.160000,0.016983
2019-03-07,Performance,162,30,162,869.115000,140796.630000,0.037736
2019-03-07,Suspension,288,37,288,599.105000,172542.240000,0.002673
2019-03-07,Towing,120,32,120,648.895000,77867.400000,0.012273
2019-03-08,Exterior,294,79,294,992.540000,291806.760000,0.016957
2019-03-08,Interior,206,27,206,1109.705000,228599.230000,0.005662
2019-03-08,Lighting,109,49,109,909.772000,99165.148000,0.008862
2019-03-08,Performance,125,32,125,627.480000,78435.000000,0.040791
2019-03-08,Suspension,342,28,342,1140.210000,389951.820000,0.003607
2019-03-08,Towing,89,63,89,699.560000,62260.840000,0.018014
2019-03-09,Exterior,39,35,39,767.100000,29916.900000,0.112250
2019-03-09,Interior,226,30,226,733.486666,165767.986516,0.024808
2019-03-09,Lighting,201,8,201,796.270000,160050.270000,0.001558
2019-03-09,Towing,111,8,111,86.900000,9645.900000,0.053759
2019-03-10,Exterior,267,37,267,528.853333,141203.839911,0.034969
2019-03-10,Interior,145,46,145,276.010000,40021.450000,0.019851
2019-03-10,Lighting,144,54,144,688.260000,99109.440000,0.018030
2019-03-10,Performance,135,61,135,539.130000,72782.550000,0.038192
2019-03-10,Towing,48,24,48,500.300000,24014.400000,0.048606
2019-03-11,Exterior,151,41,151,458.940000,69299.940000,0.033807
2019-03-11,Interior,138,69,138,161.640000,22306.320000,0.037000
2019-03-11,Lighting,227,45,227,932.416666,211658.583182,0.004762
2019-03-11,Performance,239,24,239,914.045000,218456.755000,0.012899
2019-03-11,Suspension,118,42,118,451.532500,53280.835000,0.003441
2019-03-11,Towing,217,40,217,265.355000,57582.035000,0.014321
2019-03-12,Exterior,176,83,176,389.953333,68631.786608,0.081196
2019-03-12,Interior,40,36,40,97.780000,3911.200000,0.117196
2019-03-12,Lighting,273,57,273,947.290000,258610.170000,-0.000711
2019-03-12,Performance,165,14,165,1080.620000,178302.300000,0.021336
2019-03-12,Towing,162,21,162,1438.410000,233022.420000,0.010593
2019-03-13,Exterior,184,17,184,342.136666,62953.146544,0.075081
2019-03-13,Interior,274,64,274,804.285000,220374.090000,0.010077
2019-03-13,Lighting,128,76,128,714.995000,91519.360000,0.019373
2019-03-13,Performance,197,47,197,708.807500,139635.077500,0.040378
2019-03-13,Suspension,151,9,151,979.090000,147842.590000,0.007107
2019-03-14,Exterior,240,50,240,1150.505000,276121.200000,0.011086
2019-03-14,Interior,127,74,127,725.450000,92132.150000,0.012846
2019-03-14,Lighting,229,33,229,440.763333,100934.803257,0.049568
2019-03-14,Performance,222,58,222,810.252500,179876.055000,0.030003
2019-03-14,Suspension,357,61,357,434.140000,154987.980000,0.001532
2019-03-14,Towing,116,53,116,1163.920000,135014.720000,0.003327
2019-03-15,Exterior,87,60,87,999.810000,86983.470000,0.046639
2019-03-15,Interior,160,40,160,517.720000,82835.200000,0.003721
2019-03-15,Lighting,173,58,173,889.608000,153902.184000,0.012042
2019-03-15,Performance,51,77,51,403.080000,20557.080000,0.154127
2019-03-15,Suspension,312,60,312,458.500000,143052.000000,0.011161
2019-03-15,Towing,294,7,294,662.730000,194842.620000,0.010637
2019-03-16,Exterior,212,47,212,400.280000,84859.360000,0.026892
2019-03-16,Interior,238,63,238,714.165000,169971.270000,0.006602
2019-03-16,Performance,303,45,303,1344.907500,407506.972500,0.009031
2019-03-16,Towing,238,17,238,853.220000,203066.360000,0.007063
2019-03-17,Exterior,185,35,185,610.971666,113029.758210,0.008916
2019-03-17,Interior,206,30,206,865.440000,178280.640000,0.008510
2019-03-17,Lighting,32,63,32,652.730000,20887.360000,0.107067
2019-03-17,Performance,177,50,177,925.802500,163867.042500,0.014669
2019-03-17,Towing,60,73,60,1448.400000,86904.000000,0.017294
2019-03-18,Exterior,178,39,178,429.730000,76491.940000,0.026716
2019-03-18,Performance,211,56,211,482.413333,101789.213263,0.027428
2019-03-18,Suspension,67,51,67,1090.540000,73066.180000,0.019515
2019-03-18,Towing,116,13,116,211.280000,24508.480000,0.038092
2019-03-19,Exterior,240,31,240,582.880000,139891.200000,0.014376
2019-03-19,Lighting,38,44,38,288.590000,10966.420000,0.076656
2019-03-19,Performance,83,78,83,884.326666,73399.113278,0.007134
2019-03-19,Towing,238,11,238,653.940000,155637.720000,0.007150
2019-03-20,Exterior,72,15,72,664.300000,47829.600000,0.088636
2019-03-20,Interior,176,33,176,1393.316666,245223.733216,0.005689
2019-03-20,Lighting,235,34,235,1057.160000,248432.600000,0.007147
2019-03-20,Performance,142,67,142,787.346666,111803.226572,0.029470
2019-03-20,Towing,369,37,369,1209.030000,446132.070000,0.005450
2019-03-21,Exterior,120,50,120,547.887500,65746.500000,0.035995
2019-03-21,Lighting,48,28,48,845.035000,40561.680000,0.048961
2019-03-21,Performance,288,34,288,837.445000,241184.160000,0.015423
2019-03-21,Suspension,317,71,317,507.830000,160982.110000,0.012052
2019-03-22,Exterior,230,49,230,539.537500,124093.625000,0.025219
2019-03-22,Interior,256,19,256,925.795000,237003.520000,0.003177
2019-03-22,Lighting,4,82,4,677.750000,2711.000000,1.479741
2019-03-22,Performance,144,78,144,656.395000,94520.880000,0.052697
2019-03-22,Towing,184,63,184,863.300000,158847.200000,0.000603
2019-03-23,Interior,130,27,130,942.265000,122494.450000,0.002506
