ShipmentFactID,DateID,CustomerID,ProductID,WarehouseID,CarrierID,LocationID,ShippingCost,DeliveryTimeDays
66,1276,1280,1309,792,821,695,15.82,11
67,1406,7292,2591,787,818,583,24.16,29
68,2524,246,1359,790,816,833,35.33,4
69,2395,6616,1900,792,816,678,14.91,2
70,1363,5778,1508,787,817,666,17.47,26
71,2142,2821,1731,789,818,824,44.92,7
72,1695,4856,1357,791,820,739,26.81,14
73,1908,1962,1262,787,818,611,20.79,11
74,3034,2013,2142,790,819,782,64.78,9
75,2719,443,748,790,816,645,44.35,17
76,2290,7442,1880,791,821,665,23.74,14
77,2685,1140,1649,789,821,777,55.58,22
78,3078,3978,2085,788,815,686,28.38,10
79,2525,863,2391,792,821,811,21.91,6
80,2040,6201,556,790,817,726,18.08,7
81,2421,7221,1252,788,815,632,14.22,17
82,1524,6665,930,792,815,847,48.28,5
83,1804,1957,1043,793,823,821,47.87,10
84,1910,1421,1639,789,815,710,21.52,20
85,2878,3521,2301,790,818,886,50.62,5
86,1602,4020,1433,789,818,665,58.53,14
87,1777,5037,907,790,817,632,50.86,4
88,1287,2843,2190,789,817,826,23.41,21
89,3077,5938,2576,787,822,803,20.53,1
90,2523,1808,543,789,823,782,54.15,25
91,2114,5540,1392,790,817,612,10.78,18
92,1493,1164,922,787,823,790,40.15,14
93,1829,7459,1288,788,819,597,48.06,17
94,2798,5025,993,792,816,736,30.94,9
95,2345,6950,2196,788,815,686,57.06,11
96,1382,5135,2018,788,815,782,9.72,29
97,2996,6175,1714,790,818,834,43.41,24
98,2002,3457,877,791,818,755,19.61,10
99,2824,2338,2302,788,821,879,50.53,10
100,2525,5793,2774,790,820,724,42.47,10
101,1342,5091,2805,789,819,602,36.17,8
102,2946,6621,953,788,815,613,64.76,24
103,3195,6889,2926,791,816,810,60.30,24
104,2929,5985,2184,793,818,614,33.89,15
105,1524,2923,470,790,818,849,9.32,8
106,2806,3122,688,793,820,821,24.31,18
107,1163,248,1758,791,821,876,60.53,8
108,2190,6712,1988,788,820,749,58.17,10
109,1548,511,1693,792,823,661,44.70,11
110,882,4550,1523,789,820,700,57.63,2
111,1860,3576,2531,792,822,738,28.51,7
112,1697,5358,2507,788,816,646,54.47,24
113,2331,3183,2474,793,819,662,52.52,21
114,1274,1911,661,788,816,684,25.77,14
115,2585,6976,2530,792,822,687,57.01,11
116,2799,5973,674,787,815,757,64.01,26
117,2640,2581,906,792,823,725,17.56,23
118,1141,2372,1507,791,819,575,12.07,26
119,2397,4433,1415,792,820,854,10.70,24
120,2010,7616,2201,788,823,711,36.57,4
121,3005,5043,1335,788,818,787,10.74,28
122,1549,2029,799,792,822,833,50.40,29
123,2481,375,495,787,818,794,21.83,7
124,841,7371,2261,791,822,605,14.83,21
125,1702,4257,1871,788,822,642,64.00,11
126,2678,4479,2834,791,818,826,47.17,14
127,2966,429,2927,790,815,756,64.01,23
128,2315,6600,1933,790,819,711,40.46,19
129,1109,1448,2503,788,817,735,18.31,2
130,2453,2468,2589,789,817,722,48.13,14
131,999,4909,2046,793,822,611,54.60,22
132,1490,4508,2558,790,823,881,64.82,9
133,2888,5316,1782,793,816,870,46.17,14
134,1003,1180,1906,788,823,789,27.52,20
135,1749,6322,857,789,818,603,56.96,21
136,2850,2432,1136,788,816,877,26.38,9
137,1786,4761,610,792,815,798,35.03,11
138,3184,201,1508,793,815,856,27.29,5
139,1539,2952,1122,789,818,715,24.07,19
140,3197,325,2284,787,815,817,52.28,25
141,1717,4713,1516,787,822,668,11.95,23
142,1692,6001,2324,793,822,674,61.71,15
143,1686,1828,1297,787,819,704,15.65,5
144,2518,6492,1046,792,820,745,31.81,26
145,2007,2065,1623,792,816,676,42.00,5
146,963,2189,2918,790,816,868,17.01,8
147,2512,6508,1311,792,823,774,10.06,1
148,2212,7209,2465,792,823,781,29.24,27
149,2394,2711,986,787,819,874,56.17,23
150,3012,4375,992,789,821,797,42.11,10
151,2243,1881,2319,793,819,598,48.78,11
152,1004,3610,1323,791,815,713,30.94,2
153,1356,5320,2801,792,823,697,12.22,10
154,3120,1304,1381,790,820,781,41.94,11
155,2163,6378,2358,793,818,807,59.92,13
156,871,1784,1417,792,821,579,60.77,4
157,1186,6624,1889,793,821,739,13.01,19
158,2692,5552,1188,787,818,839,47.80,14
159,2552,4623,2728,791,815,699,63.54,26
160,2941,7583,1309,793,816,740,53.13,10
161,1795,5030,2623,793,815,853,38.63,16
162,3004,1461,2118,787,815,746,28.61,11
163,2953,5159,906,788,819,776,22.90,25
164,2580,3398,566,792,820,773,21.37,16
165,985,3773,2270,793,817,812,51.74,3
166,2259,5375,2880,792,815,768,31.57,6
167,2633,2981,1993,788,819,871,52.86,21
168,2468,2243,2609,792,822,709,14.86,22
169,1699,1083,713,793,822,863,16.13,20
170,2668,1189,2158,793,815,728,46.40,27
171,1875,4018,476,793,815,580,40.04,3
172,1348,7537,2298,788,816,766,12.35,10
173,946,194,1745,793,817,839,50.75,7
174,2365,2028,2870,792,818,743,18.26,26
175,2253,3483,2409,791,815,702,43.89,18
176,1779,1828,469,788,818,616,34.68,2
177,1650,7286,792,793,816,812,51.20,1
178,2109,258,1301,791,820,811,45.94,20
179,1015,6439,1716,789,820,587,60.81,10
180,2542,5524,1527,787,820,732,29.18,16
181,1452,1126,1681,793,822,642,58.40,20
182,3214,3998,2649,788,816,817,10.81,3
183,2602,2519,1619,791,815,849,43.48,27
184,1098,5480,2808,790,821,600,29.71,24
185,2955,3232,2848,792,818,748,46.80,18
186,2169,6789,636,792,819,749,14.88,12
187,3143,6154,1058,788,818,734,13.78,16
188,1573,5327,2310,787,819,683,46.17,10
189,1765,1936,510,789,819,688,40.65,27
190,1009,1447,2152,792,817,825,26.74,14
191,1429,3169,2865,787,816,694,45.39,21
192,2298,4589,1985,787,815,883,60.14,6
193,1388,4044,1367,793,823,643,17.44,5
194,3053,723,2004,790,823,597,59.01,16
195,2990,189,1816,792,818,576,59.21,26
196,886,4848,1974,788,815,577,42.21,2
197,1687,6515,2425,792,823,723,12.81,29
198,925,5338,1709,787,823,854,38.25,12
199,2727,5494,1653,787,817,659,36.52,12
200,1105,3422,2474,793,820,816,24.07,4
201,1151,5157,1181,790,816,590,24.18,26
202,2604,3269,1680,787,820,726,45.02,26
203,2150,2097,648,789,822,825,58.82,15
204,2557,721,1769,789,823,765,59.35,8
205,2208,848,872,789,823,634,61.47,8
206,3209,4625,527,793,821,809,31.44,1
207,2369,2166,2912,787,823,631,31.57,1
208,1289,4205,2733,788,818,604,36.26,17
209,2917,7107,868,792,815,769,64.13,2
210,1114,6171,2022,787,819,674,15.77,28
211,1103,6463,1328,788,817,663,63.18,21
212,1770,523,682,792,820,603,13.48,4
213,1397,3986,2017,792,822,613,55.02,8
214,1443,1530,1131,787,815,578,28.70,1
215,880,4679,2236,788,817,679,24.23,26
216,1699,521,574,792,820,625,30.99,23
217,1434,709,1072,789,823,831,44.41,2
218,2764,1860,1740,790,822,617,9.69,22
219,1415,4289,2137,791,822,651,52.87,14
220,880,4078,1185,791,823,830,59.55,1
221,1718,3211,2325,791,815,681,24.08,11
222,2264,3849,1432,792,818,632,20.58,8
223,1165,6794,2853,791,821,727,48.06,5
224,2660,1810,2106,793,816,799,58.93,22
225,1575,4595,922,792,816,606,17.90,26
226,1843,7620,1913,790,817,802,57.93,26
227,2263,3457,2782,790,822,886,24.57,21
228,2209,4415,2205,788,816,771,15.67,7
229,2901,389,2369,793,820,751,51.02,20
230,1083,656,2629,787,816,873,34.04,5
231,2164,2178,1340,789,820,839,37.02,2
232,2561,3243,484,789,819,617,64.19,19
233,2713,7282,2441,790,823,679,37.47,18
234,1963,2637,2853,788,816,736,53.62,26
235,3062,5864,2192,787,823,748,62.70,1
236,1214,4357,2799,793,820,698,18.53,28
237,2069,7483,1937,790,816,826,11.54,6
238,3118,1296,2874,793,816,684,43.74,20
239,1053,6732,2258,787,818,578,59.26,8
240,2372,2877,1419,792,823,635,9.74,7
241,1716,569,2152,787,819,780,16.19,29
242,1520,2355,2716,789,815,634,48.00,5
243,826,4391,1509,793,819,841,36.98,26
244,2741,4151,659,791,816,710,10.32,17
245,2710,780,803,793,820,883,27.46,12
246,3190,4897,1439,790,818,685,45.07,5
247,2405,4764,995,789,821,589,38.21,5
248,3084,986,1282,788,820,756,26.59,16
249,2411,6509,1955,789,815,766,29.29,22
250,1851,671,493,788,818,741,31.66,26
251,2739,3463,2777,789,820,692,28.64,14
252,2604,3092,1280,792,820,813,43.35,9
253,2203,3856,1764,791,816,862,43.33,29
254,1832,1000,543,793,817,695,36.70,21
255,901,6729,1849,793,817,648,45.04,4
256,1120,6787,487,787,818,738,53.74,15
257,2788,178,543,791,818,746,57.83,6
258,2800,2282,2728,787,821,813,18.82,15
259,1180,3556,2895,788,817,649,24.17,8
260,1449,7446,1104,787,823,590,31.07,29
261,2764,1212,1447,789,822,789,48.38,18
262,1591,1190,2114,791,816,610,23.63,20
263,1577,845,2320,790,820,714,15.62,20
264,2215,5877,1749,793,817,615,39.16,10
265,1246,7108,1921,789,821,831,31.57,11
266,1313,3627,584,793,815,633,55.73,26
267,2606,7179,1496,787,820,875,39.16,8
268,1347,2038,2361,787,818,885,23.02,5
269,1667,4657,2635,789,817,608,40.29,13
270,2605,7415,1271,788,822,696,53.24,24
271,2442,7468,2723,788,818,609,12.83,3
272,2231,7262,2011,791,818,830,41.24,15
273,2811,7298,615,792,819,879,48.29,17
274,1288,6786,1966,793,815,658,25.88,29
275,2269,5994,1795,787,818,662,14.98,18
276,1360,1795,650,788,823,721,30.44,24
277,2678,1272,2410,793,819,691,32.00,21
278,3149,2999,2858,788,819,795,36.37,20
279,2319,5152,1783,789,822,711,20.31,22
280,1174,5431,1723,788,819,827,47.82,17
281,2015,1335,554,791,818,594,15.27,26
282,2473,5800,1645,792,817,728,25.10,28
283,2291,7622,1622,788,819,820,33.47,8
284,1471,4313,2672,791,821,727,51.09,6
285,2444,4449,488,790,820,582,27.28,12
286,3236,5138,663,789,815,727,12.71,6
287,2045,2067,2024,793,818,666,37.49,14
288,1452,4917,2050,790,816,806,26.70,13
289,2272,6143,1103,788,823,721,30.57,5
290,2553,2733,2478,791,823,715,52.58,16
291,2683,4551,1101,791,822,751,47.36,28
292,978,2376,1940,790,816,664,29.21,24
293,1343,3449,832,790,819,596,58.48,28
294,1831,7191,1880,788,816,586,47.42,17
295,2423,3692,2287,792,821,786,34.68,29
296,1191,6453,1578,787,823,709,43.28,3
297,2570,643,1522,790,819,726,63.18,28
298,1504,248,1096,792,823,872,20.58,24
299,2601,6664,1261,792,820,654,58.11,29
300,1396,3559,1804,793,818,803,13.77,15
301,2104,3222,967,793,820,885,55.72,19
302,3074,5913,2432,787,819,757,31.07,20
303,895,837,2433,787,818,725,51.70,29
304,3190,2789,1974,789,816,835,50.44,5
305,907,4159,596,787,816,625,59.49,15
306,1345,1761,2507,792,819,812,26.54,6
307,1345,3972,2902,789,820,693,9.48,19
308,1780,7085,2526,791,815,687,49.46,18
309,882,1118,1221,791,819,587,18.33,26
310,2846,1606,1575,789,823,606,61.59,22
311,1028,7037,1253,787,815,671,57.43,12
312,1760,3807,920,791,818,793,52.11,4
313,1471,1104,2481,790,815,584,40.93,28
314,2943,3415,2244,791,822,850,10.40,8
315,2414,3713,2366,793,815,618,45.15,24
316,2832,5086,607,793,817,606,63.12,17
317,1002,6637,1437,788,823,715,19.23,19
318,1490,7543,425,793,821,691,44.54,22
319,2501,7105,2313,793,822,863,27.80,17
320,2193,2855,1181,793,823,889,48.94,15
321,1193,2796,2299,788,817,635,39.56,5
322,1717,2503,1101,788,819,850,42.56,15
323,2825,4461,1830,787,821,648,12.71,2
324,997,4489,2173,792,818,825,61.22,13
325,1654,7085,842,789,822,772,56.34,26
326,1813,4391,2035,787,817,820,41.78,7
327,2411,7189,1037,788,820,823,37.00,20
328,1806,6716,638,793,821,823,14.54,5
329,1222,5566,2785,789,823,641,12.95,13
330,2816,5527,2541,790,821,725,62.30,3
331,2758,5445,2691,793,822,771,15.69,1
332,1513,6046,673,790,817,724,13.00,22
333,1111,1968,1868,788,819,625,32.41,11
334,1518,3213,1252,789,816,756,9.06,26
335,2809,7572,2389,790,818,664,11.84,16
336,2965,3639,913,792,819,622,47.20,5
337,3079,1298,936,787,820,887,33.73,21
338,1923,7279,1889,792,821,756,45.82,12
339,1454,3019,1099,792,819,753,57.47,12
340,1295,5026,1922,793,815,734,12.41,11
341,898,1239,774,789,822,870,11.35,22
342,1575,2616,1838,789,818,685,48.39,6
343,2109,1625,2529,792,821,784,16.04,1
344,3194,3265,2623,791,816,676,56.89,19
345,1444,4383,1701,791,820,870,27.66,14
346,964,6648,2267,787,817,760,25.56,21
347,1784,5014,2232,787,816,760,11.52,19
348,1475,854,990,790,819,629,47.94,24
349,2423,1519,1014,789,823,729,52.61,13
350,1230,1701,2316,789,821,883,48.50,24
351,1149,1968,1303,789,822,668,42.64,28
352,1466,1391,669,791,820,746,19.58,9
353,3131,7132,791,789,820,581,32.54,27
354,1934,5846,1323,793,823,860,39.03,27
355,3195,4034,2115,789,822,730,41.17,2
356,1850,621,2145,791,822,590,30.35,22
357,1522,983,2484,792,815,651,41.47,27
358,931,486,925,792,815,807,42.18,2
359,2443,5774,843,793,822,659,62.54,1
360,2654,3972,1762,793,815,594,11.05,5
361,1107,2149,619,788,816,666,59.30,17
362,1030,1627,560,790,823,774,32.21,16
363,817,2172,1113,793,821,592,54.73,2
364,3218,2961,676,791,815,869,40.91,6
365,1937,1097,2329,791,820,742,36.55,26
366,2462,6425,1237,789,818,715,15.71,13
367,1278,3270,1044,791,821,655,44.44,4
368,1295,1205,1532,788,823,659,22.41,12
369,2379,567,1472,787,822,605,20.89,7
370,2917,4504,1069,790,817,674,18.15,11
371,1209,3710,1961,789,815,845,29.62,9
372,822,1127,1431,788,815,840,20.73,8
373,3203,7010,2750,790,820,803,19.15,4
374,1884,6387,2247,788,820,672,20.05,5
375,2304,2880,978,788,818,693,28.70,25
376,1083,7530,1128,791,815,878,41.45,4
377,2092,3042,1272,791,816,659,23.97,19
378,2731,4618,1567,788,819,580,42.01,3
379,1445,4316,1917,790,817,742,58.57,29
380,2990,3089,712,793,816,689,20.05,15
381,2521,2264,1016,791,823,793,62.07,13
382,1533,341,639,788,818,631,41.76,2
383,2804,4339,1612,790,823,775,61.83,26
384,2750,6194,1168,789,815,591,19.08,25
385,1124,2691,777,790,817,879,57.14,11
386,1631,4769,1765,788,815,675,23.06,2
387,3009,5732,2278,789,817,725,64.80,15
388,1706,1737,1866,787,820,597,26.26,13
389,2083,1435,1462,789,818,833,30.86,24
390,2773,5236,1571,789,815,640,39.93,4
391,2475,2864,1010,789,823,774,11.82,18
392,2880,5107,2039,789,823,613,55.62,11
393,1121,7232,1958,787,820,817,15.20,25
394,2974,5721,2318,790,821,871,64.88,24
395,2640,7493,781,789,820,763,37.33,11
396,2183,845,1113,793,820,783,31.51,21
397,1808,7055,1619,790,819,676,16.79,13
398,1796,7426,1973,793,822,831,37.06,11
399,2877,6663,2318,789,819,666,59.11,19
400,1882,3248,456,791,816,773,21.44,11
401,3020,2583,994,787,823,682,16.09,28
402,1797,1996,513,791,819,615,22.84,13
403,2359,6684,1422,788,819,631,38.42,14
404,1178,7428,1163,789,815,697,23.96,3
405,2066,5575,2532,792,822,600,20.07,27
406,2079,7579,2108,791,820,792,50.05,26
407,2318,5283,1522,791,821,799,61.50,18
408,943,5845,2252,787,821,604,27.61,3
409,1244,4848,1197,789,818,836,58.14,26
410,3223,1457,1495,788,820,822,30.69,14
411,2252,3225,2332,790,815,621,47.81,28
412,2940,900,2857,787,818,596,52.81,13
413,2505,4111,1577,793,818,873,22.91,29
414,2231,3201,1120,788,815,807,60.74,15
415,2261,609,2461,791,815,830,13.40,12
416,1690,5139,2731,793,822,646,43.51,23
417,1285,5994,2810,791,823,675,27.98,16
418,2408,2832,1351,792,820,849,54.92,15
419,1091,6236,1542,787,820,841,23.32,7
420,868,6483,1063,790,819,829,61.02,5
421,2054,3186,2531,790,815,724,20.89,17
422,2381,1035,1724,787,820,714,63.44,27
423,3201,3933,1927,793,820,889,12.58,16
424,2170,7639,2421,788,820,769,33.11,6
425,2272,1357,2496,792,820,780,60.59,23
426,1623,6469,564,793,819,713,41.70,27
427,2336,6770,1408,788,816,863,37.10,4
428,1304,6573,856,792,815,756,19.57,23
429,2721,3057,1918,791,821,673,32.18,3
430,2674,282,2764,787,817,682,28.44,2
431,2295,1643,1726,788,822,647,33.00,1
432,1386,3898,1970,789,823,621,57.74,1
433,2497,5020,1100,788,815,665,34.61,9
434,2508,6441,1040,789,822,795,48.64,3
435,1066,5658,2776,787,823,677,44.22,4
436,1452,393,2018,792,818,842,55.54,28
437,1573,4690,894,792,823,842,64.41,19
438,1893,3828,1326,792,823,782,56.87,2
439,1759,4282,2574,788,818,817,22.38,16
440,819,7625,2595,790,819,601,61.45,17
441,1069,384,2897,790,817,851,20.06,12
442,2221,3913,1802,791,823,745,10.13,4
443,1359,1551,1599,792,823,859,27.74,5
444,1960,3616,1493,791,821,840,60.66,14
445,1105,2818,1763,791,823,808,58.44,24
446,1271,4086,1287,791,820,858,40.09,4
447,1758,202,2755,790,818,861,24.17,27
448,2838,4600,2320,791,815,884,51.22,10
449,1893,2540,2541,792,817,734,51.95,16
450,1935,5981,1842,789,819,864,30.68,12
451,1487,6636,463,790,816,851,26.59,23
452,2404,4000,2226,789,816,850,64.57,12
453,1303,6961,1398,791,822,868,53.14,25
454,1607,1024,904,787,820,643,22.51,15
455,2661,2741,2911,793,820,710,50.14,23
456,2959,2765,1676,787,819,867,39.17,15
457,3226,1360,1546,787,820,668,54.12,11
458,1036,1830,2372,787,823,667,36.91,11
459,2565,4844,2832,789,822,881,32.29,8
460,1321,3665,2778,791,821,667,39.01,24
461,2078,4353,516,789,819,655,61.40,6
462,2831,6619,1538,789,821,678,57.24,18
463,2514,229,1691,790,822,816,52.51,21
464,2527,3094,1905,793,822,663,33.17,9
465,2634,3474,2305,792,823,798,42.88,17
466,1530,3911,2593,792,818,717,37.08,21
467,1513,4874,1779,788,815,744,10.67,21
468,1685,4669,2296,789,820,623,33.14,21
469,1892,3384,2633,787,816,603,25.68,20
470,1072,4471,1618,787,818,736,24.99,26
471,2530,3301,435,793,822,630,10.29,12
472,1571,1951,912,792,822,739,24.47,17
473,2677,2013,2180,787,818,616,24.58,15
474,3194,932,2767,787,817,874,59.50,27
475,1527,1148,1571,792,816,664,43.07,11
476,2736,2860,2284,791,821,728,35.65,5
477,1741,957,2470,791,817,839,42.15,1
478,914,6539,1219,788,815,666,56.08,21
479,3219,4304,1230,789,816,664,57.61,13
480,2373,531,2343,792,822,731,47.28,25
481,2194,5646,2845,789,818,675,53.52,10
482,860,6767,2806,790,822,690,49.64,10
483,1507,6939,2346,789,823,644,62.21,25
484,2036,1858,2692,789,816,646,45.54,2
485,1598,6697,1495,788,820,769,58.35,21
486,994,919,2764,792,821,759,36.97,22
487,2057,4116,566,787,816,794,42.31,4
488,2365,5729,1214,793,822,869,36.78,1
489,2182,3393,983,792,823,827,42.34,6
490,1977,1981,700,792,822,773,19.24,22
491,2347,2238,489,789,820,719,38.20,27
492,2369,2777,2337,792,820,799,57.49,2
493,3165,7152,1106,787,817,676,10.11,5
494,3130,1020,1468,789,821,751,12.52,14
495,2228,7306,722,792,817,574,25.75,10
496,944,5334,1512,787,822,682,58.36,6
497,1832,7302,775,788,815,807,41.23,28
498,1773,5304,2348,790,816,862,53.18,29
499,2434,3656,1880,789,817,764,38.20,4
500,2698,5940,1022,791,821,740,37.97,9
501,2551,5934,534,787,816,793,59.17,1
502,2143,2353,2144,787,822,700,52.23,18
503,1832,1034,838,791,819,757,35.04,22
504,1847,5575,2896,789,819,614,57.81,12
505,2423,4479,2911,791,816,731,15.10,19
506,2443,647,2746,792,819,768,52.14,6
507,1638,2364,534,791,823,712,58.63,24
508,1426,4772,1102,793,816,578,43.25,17
509,2311,646,558,792,816,658,34.66,14
510,2848,3792,1328,792,819,783,63.52,27
511,3170,5709,436,789,816,603,11.96,1
512,894,1725,2669,790,815,823,20.96,13
513,2178,4789,539,787,819,778,13.27,20
514,3120,1230,2593,788,817,844,64.22,22
515,1470,5529,1325,790,818,887,11.44,22
516,2967,6283,808,791,820,721,16.26,19
517,1980,6144,1030,793,816,690,35.23,1
518,1919,5576,1950,793,817,754,51.61,22
519,2410,2421,2508,789,815,713,62.55,16
520,1994,7443,2188,788,819,630,33.54,16
521,2485,1400,680,789,822,888,42.29,25
522,1833,1639,1806,791,819,795,32.84,25
523,2540,5086,1623,789,823,598,60.47,28
524,3088,3983,1189,788,820,625,52.17,23
525,2185,4126,601,793,820,692,41.62,11
526,1315,2393,1241,793,822,776,37.73,27
527,1827,4770,2001,788,816,627,29.62,23
528,2712,6015,2034,787,818,589,34.88,12
529,2136,6041,1358,789,819,680,61.61,1
530,2822,512,1321,787,815,713,16.51,25
531,984,6771,666,789,821,805,18.01,11
532,1289,4668,1005,790,821,860,23.04,10
533,3017,1682,2893,789,818,597,36.16,15
534,846,7446,1815,792,816,797,38.29,3
535,1279,6892,1485,790,815,679,9.44,19
536,922,7322,2266,788,820,774,40.42,11
537,2518,3942,2027,791,815,770,13.86,16
538,1400,2127,1646,789,823,735,45.12,13
539,1213,317,1422,788,823,673,44.54,10
540,2808,3374,893,793,823,822,41.77,8
541,1617,3006,2012,793,819,640,40.28,24
542,2676,2338,1104,790,820,819,51.50,7
543,2489,1674,2773,787,817,731,43.97,3
544,1373,984,646,788,815,819,37.58,23
545,1504,7466,1700,792,818,585,22.34,25
546,2411,5753,888,793,819,814,20.97,24
547,2470,5174,2394,793,816,624,28.16,27
548,1316,6815,2565,791,822,686,34.81,21
549,2498,7292,522,793,815,862,47.54,5
550,3131,5676,864,789,816,714,29.13,24
551,3103,7352,2542,792,818,776,49.50,23
552,2817,1624,1464,791,817,830,56.91,28
553,2365,1318,2384,789,815,785,24.26,16
554,1620,6661,2140,792,818,845,47.39,4
555,2301,5793,2758,792,823,748,21.80,15
556,2713,2047,1019,790,818,573,38.19,20
557,3185,6607,1139,787,823,595,53.13,6
558,1404,5281,1060,789,819,857,53.87,20
559,1524,4981,2180,791,817,859,17.61,20
560,2465,144,1342,789,816,761,49.82,24
561,1152,3212,1388,790,819,660,44.30,24
562,1130,884,1069,791,820,687,29.43,12
563,1760,2944,2642,791,818,810,37.90,7
564,2972,646,1005,792,816,625,28.75,1
565,2665,2980,2733,792,818,609,39.04,26
566,2136,5753,1904,789,823,853,14.68,9
567,1415,3647,1739,793,822,707,23.10,12
568,1657,5410,981,792,816,887,22.04,15
569,2336,5646,2362,792,818,635,29.46,5
570,2644,924,1377,792,823,744,42.65,14
571,2876,232,2780,788,815,697,61.38,21
572,1823,3313,2385,791,818,773,50.14,12
573,1390,3643,2893,790,821,861,36.47,21
574,2520,6742,817,793,822,579,13.43,13
575,1062,1006,2902,787,820,883,22.84,8
576,1871,1580,746,788,818,849,17.27,29
577,925,3488,2587,788,817,879,15.95,6
578,1126,5548,890,790,820,876,44.86,27
579,1097,1952,2728,791,820,657,23.66,23
580,1116,4500,1046,787,820,813,47.47,8
581,1168,3951,779,789,820,770,46.40,14
582,2405,4885,979,791,817,606,14.47,23
583,2806,4899,2876,793,816,728,58.25,9
584,2651,3554,538,793,823,713,39.95,29
585,1245,6053,2558,793,817,806,24.40,28
586,2294,5492,585,792,817,649,57.85,19
587,2113,3553,731,792,816,849,54.21,25
588,2356,3291,2185,788,823,799,64.59,9
589,854,4394,478,791,822,889,47.09,25
590,2658,7111,976,787,821,789,45.35,12
591,1625,1025,1052,789,816,742,22.80,4
592,1840,1233,1093,791,820,766,17.66,17
593,1546,3142,2499,787,820,800,19.30,5
594,1896,661,2672,787,816,825,49.46,8
595,940,5772,781,792,820,853,30.85,4
596,2922,4469,1916,787,817,741,39.40,16
597,1303,1845,888,788,822,753,18.19,12
598,1964,7213,1791,788,815,843,11.94,17
599,2536,6228,1195,788,823,838,12.23,29
600,868,1903,2883,792,820,672,63.80,9
601,1174,6886,2239,790,818,598,23.95,14
602,2516,6049,2028,787,820,887,47.99,27
603,2586,3151,1052,792,823,595,60.41,29
604,3093,3054,1118,792,819,788,50.33,4
605,2024,1981,1134,787,821,802,44.09,23
606,958,2250,507,790,823,745,25.30,7
607,3155,6532,2852,793,815,585,54.40,11
608,1508,7613,573,788,821,811,59.38,16
609,3054,1857,2334,790,822,670,20.10,19
610,1304,3108,2781,787,820,884,63.15,24
611,1003,5653,1978,788,821,840,35.87,26
612,2716,1959,1591,791,818,786,55.95,2
613,1339,1799,495,791,818,770,40.42,8
614,2180,5464,2783,789,817,658,28.53,26
