FullDate,SubCategory,Brand,SalesChannel,Category,ReturnAmt,ReturnQty,ReturnRate_Value,ReasonName
2022-04-27,Lift Kits,Westin,MobileApp,Suspension,5257794.85,25942,3394.413247,"Ordered by Mistake "
2024-03-10,Tonneau Covers,CURT,Web,Exterior,2683034.91,25822,1722.591323,"Defective "
2025-01-08,Trailer Hitches,K&N,Web,Towing,1697538.28,12911,1089.869726,"Better Price Found "
2022-03-04,Floor Mats,Rough Country,InStore,Interior,5237328.26,12982,3297.543200,"Damaged "
2023-06-27,Exhaust,Tyger Auto,InStore,Performance,2305083.92,12982,1451.330615,"Not as Described "
2024-07-30,LED Light Bars,WeatherTech,InStore,Lighting,4203571.60,12982,2646.664766,"Late Delivery "
2023-02-08,Running Boards,MagnaFlow,Marketplace,Exterior,1752972.06,6662,2236.689451,"Late Delivery "
2019-03-22,Floor Mats,Husky Liners,MobileApp,Interior,6831695.99,25942,4410.520015,"Late Delivery "
2020-07-21,Exhaust,TruXedo,MobileApp,Performance,875023.66,12971,564.906703,"Other "
2019-12-16,Exhaust,TruXedo,Web,Performance,963935.26,25822,618.872052,"Ordered by Mistake "
2021-11-13,Floor Mats,CURT,Web,Interior,6755164.31,12911,4337.034138,"Changed Mind "
2024-09-05,LED Light Bars,TruXedo,Web,Lighting,10124547.98,25822,6500.290598,"Better Price Found "
2020-04-11,Exhaust,Flowmaster,InStore,Performance,3205515.44,25964,2018.264220,"Warranty Claim "
2020-12-31,Tonneau Covers,MagnaFlow,InStore,Exterior,8559811.52,12982,5389.459728,"Ordered by Mistake "
2022-11-25,Cold Air Intakes,CURT,InStore,Performance,14290975.06,12982,8997.940191,"Ordered by Mistake "
2021-07-26,Trailer Hitches,Putco,MobileApp,Towing,14766316.11,12971,9533.091794,"Better Price Found "
2023-04-24,Exhaust,Husky Liners,MobileApp,Performance,6576426.71,12971,4245.718774,"Other "
2021-05-01,LED Light Bars,CURT,InStore,Lighting,1499031.54,12982,943.820350,"Late Delivery "
2022-03-24,Lift Kits,Husky Liners,InStore,Suspension,14013030.44,25964,8822.939444,"Other "
2024-10-21,Lift Kits,Tyger Auto,InStore,Suspension,12275779.20,12982,7729.123635,"Damaged "
2024-09-05,LED Light Bars,Husky Liners,Marketplace,Lighting,4318574.88,13324,5510.252929,"Damaged "
2019-02-15,Exhaust,WeatherTech,MobileApp,Performance,13635374.62,25942,8802.958631,"Missing Parts "
2019-11-02,Running Boards,Husky Liners,MobileApp,Exterior,12377057.91,25942,7990.592378,"Late Delivery "
2019-08-05,Running Boards,Flowmaster,Web,Exterior,5001334.07,25822,3211.016640,"Other "
2021-01-14,LED Light Bars,Flowmaster,Web,Lighting,13228223.27,12911,8492.953654,"Damaged "
2023-01-05,Running Boards,Flowmaster,InStore,Exterior,1933928.54,25964,1217.642145,"Warranty Claim "
2022-04-14,Tonneau Covers,Flowmaster,Marketplace,Exterior,5498148.60,6662,7015.321939,"Not as Described "
2020-07-05,Exhaust,Tyger Auto,MobileApp,Performance,5746412.42,25942,3709.863570,"Damaged "
2023-07-21,Running Boards,WeatherTech,Web,Exterior,9437424.56,12911,6059.134508,"Late Delivery "
2020-02-29,Floor Mats,WeatherTech,InStore,Interior,11687305.14,25964,7358.606036,"Damaged "
2022-09-30,Running Boards,Flowmaster,InStore,Exterior,1877716.48,12982,1182.249569,"Wrong Item "
2024-02-29,Running Boards,WeatherTech,InStore,Exterior,6035591.44,12982,3800.149146,"Missing Parts "
2020-05-29,Trailer Hitches,Husky Liners,MobileApp,Towing,15479202.27,12971,9993.329312,"Ordered by Mistake "
2021-05-17,Running Boards,Husky Liners,Web,Exterior,8622094.91,25822,5535.665677,"Other "
2023-11-15,Cold Air Intakes,K&N,Marketplace,Performance,4265678.60,13324,5442.760248,"Defective "
2024-10-11,Cold Air Intakes,TruXedo,Marketplace,Performance,7085503.34,6662,9040.696433,"Warranty Claim "
2024-05-12,Trailer Hitches,Rough Country,MobileApp,Towing,9752116.64,25942,6295.936614,"Warranty Claim "
2020-08-29,LED Light Bars,Flowmaster,InStore,Lighting,14215549.64,12982,8950.450476,"Better Price Found "
2021-05-20,Floor Mats,TruXedo,MobileApp,Interior,14682782.87,25942,9479.162919,"Late Delivery "
2022-08-12,Running Boards,K&N,MobileApp,Exterior,6688755.57,12971,4318.238060,"Changed Mind "
2022-11-24,Lift Kits,Putco,MobileApp,Suspension,9170497.00,25942,5920.444305,"Other "
2019-01-02,Running Boards,K&N,Web,Exterior,6555431.14,12911,4208.798717,"Warranty Claim "
2020-01-12,Trailer Hitches,Flowmaster,Web,Towing,15319676.16,12911,9835.736020,"Warranty Claim "
2020-07-03,Running Boards,Tyger Auto,Web,Exterior,12662979.69,25822,8130.048408,"Changed Mind "
2019-02-18,Floor Mats,Flowmaster,InStore,Interior,3177344.50,12982,2000.527114,"Ordered by Mistake "
2022-07-08,Cold Air Intakes,K&N,InStore,Performance,8517749.84,25964,5362.976697,"Defective "
2023-07-14,Tonneau Covers,MagnaFlow,MobileApp,Exterior,10028139.52,25942,6474.136372,"Missing Parts "
2019-05-09,Cold Air Intakes,CURT,InStore,Performance,13989792.66,12982,8808.308376,"Damaged "
2023-02-24,Tonneau Covers,Putco,InStore,Exterior,4480737.30,12982,2821.175045,"Damaged "
2023-12-16,LED Light Bars,Putco,InStore,Lighting,11660172.76,12982,7341.522842,"Damaged "
2024-03-02,Cold Air Intakes,MagnaFlow,InStore,Performance,4893045.62,25964,3080.774484,"Other "
2023-08-05,Trailer Hitches,BAK,Marketplace,Towing,7955360.68,13324,10150.585025,"Ordered by Mistake "
2022-02-11,Running Boards,Westin,MobileApp,Exterior,11623053.68,12971,7503.809031,"Other "
2019-02-15,Exhaust,Flowmaster,Web,Performance,10368049.44,12911,6656.626727,"Better Price Found "
2024-05-04,Cold Air Intakes,Flowmaster,Web,Performance,6949087.53,12911,4461.539265,"Missing Parts "
2024-10-24,Trailer Hitches,Tyger Auto,Web,Towing,9372998.67,12911,6017.770915,"Late Delivery "
2019-07-25,Lift Kits,CURT,MobileApp,Suspension,813930.25,12971,525.464990,"Wrong Item "
2022-09-28,Exhaust,Westin,MobileApp,Performance,1330435.47,12971,858.919505,"Not as Described "
2024-09-27,LED Light Bars,BAK,Web,Lighting,8635393.24,25822,5544.203689,"Not as Described "
2020-07-12,Exhaust,Tyger Auto,InStore,Performance,1134496.98,12982,714.300517,"Damaged "
2024-02-03,Cold Air Intakes,Husky Liners,InStore,Performance,4770365.72,25964,3003.532210,"Missing Parts "
2024-02-23,Running Boards,Westin,InStore,Exterior,1554334.86,25964,978.640665,"Wrong Item "
2024-11-22,Trailer Hitches,BAK,InStore,Towing,1952103.34,12982,1229.085386,"Late Delivery "
2019-06-13,Exhaust,Westin,Web,Performance,1308271.63,12911,839.947511,"Damaged "
2020-11-02,Running Boards,BAK,InStore,Exterior,2906150.52,25964,1829.776747,"Changed Mind "
2020-11-02,NULL,K&N,InStore,Lighting,10417665.54,25964,6559.209992,"Defective "
2022-01-31,Exhaust,WeatherTech,MobileApp,Performance,11210316.46,12971,7237.346922,"Better Price Found "
2024-01-14,LED Light Bars,CURT,MobileApp,Lighting,1155716.10,25942,746.121064,"Wrong Item "
2022-03-18,Trailer Hitches,Flowmaster,InStore,Towing,5851896.14,12982,3684.490191,"Wrong Item "
2022-08-05,Floor Mats,Rough Country,InStore,Interior,13803371.14,25964,8690.932852,"Wrong Item "
2023-12-05,NULL,BAK,MobileApp,Lighting,7391654.06,25942,4772.027653,"Damaged "
2025-01-09,Lift Kits,Westin,Web,Suspension,6611593.99,12911,4244.857181,"Defective "
2025-05-10,Trailer Hitches,Rough Country,Web,Towing,5598855.15,25822,3594.645084,"Wrong Item "
2019-07-14,Floor Mats,Putco,InStore,Interior,10075589.84,12982,6343.830729,"Better Price Found "
2020-03-01,Running Boards,Flowmaster,InStore,Exterior,6192154.36,25964,3898.725033,"Wrong Item "
2020-02-16,Trailer Hitches,K&N,Web,Towing,2072215.50,25822,1330.424957,"Better Price Found "
2020-04-03,Tonneau Covers,CURT,Web,Exterior,14538173.33,25822,9333.985174,"Ordered by Mistake "
2023-12-03,LED Light Bars,Flowmaster,MobileApp,Lighting,14544122.88,25942,9389.644308,"Better Price Found "
2020-08-30,Cold Air Intakes,K&N,Web,Performance,8069504.11,25822,5180.884024,"Ordered by Mistake "
2019-12-23,Exhaust,WeatherTech,InStore,Performance,12121293.40,12982,7631.855609,"Not as Described "
2023-02-07,LED Light Bars,K&N,MobileApp,Lighting,8200395.91,25942,5294.149466,"Wrong Item "
2023-09-02,Floor Mats,Putco,MobileApp,Interior,15301758.99,25942,9878.772316,"Missing Parts "
2024-05-07,Exhaust,Flowmaster,MobileApp,Performance,11041693.46,25942,7128.484334,"Late Delivery "
2025-07-07,Running Boards,Tyger Auto,MobileApp,Exterior,7510468.42,25942,4848.733889,"Changed Mind "
2021-05-11,Exhaust,Husky Liners,Web,Performance,11385694.46,12911,7309.988718,"Damaged "
2022-01-28,Exhaust,Westin,Web,Performance,8741134.33,25822,5612.093031,"Warranty Claim "
2021-09-08,Lift Kits,Putco,InStore,Suspension,10977319.56,25964,6911.581797,"Warranty Claim "
2022-08-31,Floor Mats,CURT,MobileApp,Interior,8359679.79,12971,5396.982756,"Defective "
2023-02-14,Floor Mats,Putco,Web,Interior,1307238.75,12911,839.284445,"Wrong Item "
2021-11-24,Running Boards,Westin,MobileApp,Exterior,15269720.62,12971,9858.088530,"Ordered by Mistake "
2022-02-01,Tonneau Covers,CURT,MobileApp,Exterior,11155189.71,25942,7201.757277,"Better Price Found "
2024-09-02,Lift Kits,BAK,Web,Suspension,11568514.22,25822,7427.365104,"Wrong Item "
2020-03-25,LED Light Bars,Flowmaster,InStore,Lighting,6626012.80,25964,4171.892886,"Damaged "
2020-09-14,Exhaust,WeatherTech,InStore,Performance,1870057.10,12982,1177.427127,"Other "
2024-12-27,Tonneau Covers,Westin,MobileApp,Exterior,10383285.50,25942,6703.417710,"Other "
2019-05-07,Running Boards,WeatherTech,Web,Exterior,11016052.53,12911,7072.666294,"Better Price Found "
2020-10-20,Tonneau Covers,Husky Liners,Web,Exterior,14837837.64,25822,9526.379623,"Not as Described "
2020-11-13,Exhaust,Westin,InStore,Performance,406206.78,12982,255.751157,"Better Price Found "
2025-02-05,LED Light Bars,WeatherTech,InStore,Lighting,6908371.30,12982,4349.672674,"Defective "
2023-03-15,Exhaust,CURT,Web,Performance,6598941.21,25822,4236.733701,"Wrong Item "
2023-11-26,Lift Kits,Putco,Web,Suspension,8428688.13,12911,5411.492119,"Wrong Item "
2024-12-07,Running Boards,Westin,Web,Exterior,2813048.68,25822,1806.064468,"Damaged "
2024-05-19,Trailer Hitches,Putco,Marketplace,Towing,2622629.54,6662,3346.323017,"Ordered by Mistake "
2019-05-17,Cold Air Intakes,Westin,MobileApp,Performance,14348001.36,12971,9263.028783,"Damaged "
2024-08-06,Running Boards,CURT,MobileApp,Exterior,10604830.18,12971,6846.446416,"Damaged "
2020-09-29,Tonneau Covers,Putco,Web,Exterior,3495136.81,25822,2243.987812,"Ordered by Mistake "
2021-05-03,Tonneau Covers,Westin,Web,Exterior,639094.50,25822,410.313524,"Missing Parts "
2019-04-09,Floor Mats,TruXedo,InStore,Interior,1466187.08,12982,923.140642,"Defective "
2020-01-09,LED Light Bars,WeatherTech,InStore,Lighting,797873.72,12982,502.354267,"Ordered by Mistake "
2023-02-15,Tonneau Covers,Putco,InStore,Exterior,5617441.22,25964,3536.871579,"Better Price Found "
2020-07-11,Tonneau Covers,Rough Country,Marketplace,Exterior,4575195.12,13324,5837.685731,"Other "
2020-02-08,LED Light Bars,WeatherTech,Web,Lighting,8943320.59,12911,5741.903339,"Other "
2019-10-09,Floor Mats,WeatherTech,InStore,Interior,13452857.14,12982,8470.240699,"Warranty Claim "
2021-06-24,LED Light Bars,WeatherTech,InStore,Lighting,6937061.52,12982,4367.736705,"Other "
2023-08-19,Running Boards,Westin,Marketplace,Exterior,2520301.22,6662,3215.757848,"Defective "
2020-06-22,LED Light Bars,BAK,MobileApp,Lighting,12312073.20,25942,7948.638420,"Defective "
2021-01-17,Tonneau Covers,Putco,MobileApp,Exterior,1846032.72,12971,1191.787793,"Warranty Claim "
2021-04-26,LED Light Bars,Tyger Auto,MobileApp,Lighting,2142549.78,12971,1383.218490,"Other "
2023-07-12,Cold Air Intakes,Westin,MobileApp,Performance,8432965.94,12971,5444.296079,"Damaged "
2023-11-27,LED Light Bars,Tyger Auto,MobileApp,Lighting,13195917.14,25942,8519.245906,"Damaged "
2023-08-30,Cold Air Intakes,TruXedo,Web,Performance,11208426.43,12911,7196.176755,"Defective "
2021-03-16,Floor Mats,TruXedo,InStore,Interior,5024942.74,12982,3163.820062,"Late Delivery "
2022-02-03,LED Light Bars,Husky Liners,InStore,Lighting,15470519.58,12982,9740.610181,"Missing Parts "
2024-06-16,Exhaust,WeatherTech,InStore,Performance,4548892.80,12982,2864.087407,"Late Delivery "
2024-07-01,LED Light Bars,Westin,Web,Lighting,10261533.69,25822,6588.240065,"Defective "
2025-06-14,Floor Mats,Rough Country,Web,Interior,4536538.07,25822,2912.602086,"Late Delivery "
2020-03-15,Lift Kits,WeatherTech,InStore,Suspension,6909799.32,25964,4350.571773,"Wrong Item "
2022-03-07,Running Boards,Flowmaster,InStore,Exterior,7949787.34,25964,5005.373613,"Better Price Found "
2021-08-29,Lift Kits,MagnaFlow,MobileApp,Suspension,3480249.01,12971,2246.833907,"Late Delivery "
2023-03-31,Trailer Hitches,MagnaFlow,MobileApp,Towing,12542308.45,25942,8097.277696,"Changed Mind "
2025-01-02,LED Light Bars,K&N,Web,Lighting,11475038.58,25822,7367.350663,"Missing Parts "
2019-07-27,Floor Mats,MagnaFlow,InStore,Interior,3864611.58,12982,2433.247250,"Wrong Item "
2023-06-30,Running Boards,MagnaFlow,InStore,Exterior,5986649.30,25964,3769.334027,"Damaged "
2025-07-28,LED Light Bars,Husky Liners,Marketplace,Lighting,4059756.18,13324,5180.014909,"Wrong Item "
2021-03-26,Trailer Hitches,WeatherTech,MobileApp,Towing,1924377.56,12971,1242.367026,"Late Delivery "
2022-02-14,Tonneau Covers,K&N,MobileApp,Exterior,8203898.08,12971,5296.410437,"Late Delivery "
2019-05-23,Running Boards,Rough Country,Web,Exterior,14123988.45,12911,9068.064702,"Warranty Claim "
2020-07-28,Running Boards,Putco,Web,Exterior,4617102.71,25822,2964.327255,"Missing Parts "
2019-05-18,Trailer Hitches,Flowmaster,InStore,Towing,11409100.88,25964,7183.441889,"Ordered by Mistake "
2023-07-07,Cold Air Intakes,Flowmaster,InStore,Performance,13990831.22,12982,8808.962276,"Not as Described "
2023-06-26,Trailer Hitches,Husky Liners,MobileApp,Towing,15098114.29,12971,9747.299847,"Ordered by Mistake "
2019-01-04,Tonneau Covers,Husky Liners,Web,Exterior,4263599.53,12911,2737.366542,"Ordered by Mistake "
2019-03-26,Cold Air Intakes,CURT,Web,Performance,1082587.35,25822,695.050730,"Changed Mind "
2020-08-16,Trailer Hitches,MagnaFlow,Web,Towing,2480332.21,12911,1592.449454,"Changed Mind "
2024-11-16,NULL,Husky Liners,Marketplace,Towing,3706137.22,13324,4728.817243,"Other "
2019-08-30,Exhaust,Putco,MobileApp,Performance,14039161.85,12971,9063.642725,"Better Price Found "
2024-12-23,Running Boards,CURT,MobileApp,Exterior,11763789.03,12971,7594.667497,"Changed Mind "
2022-10-08,Trailer Hitches,Putco,Web,Towing,5005982.03,25822,3214.000793,"Ordered by Mistake "
2023-11-26,Cold Air Intakes,Westin,Web,Performance,11356515.60,12911,7291.254969,"Other "
2023-06-12,Exhaust,BAK,MobileApp,Performance,7784675.36,12971,5025.761244,"Late Delivery "
2019-11-19,Trailer Hitches,Putco,Web,Towing,1000473.39,12911,642.330836,"Changed Mind "
2019-04-24,Floor Mats,MagnaFlow,InStore,Interior,6252001.38,25964,3936.406161,"Defective "
2019-12-28,Trailer Hitches,Rough Country,InStore,Towing,10490364.74,25964,6604.983136,"Other "
2020-04-17,Running Boards,TruXedo,InStore,Exterior,9269926.92,25964,5836.565739,"Other "
2025-08-19,Exhaust,MagnaFlow,InStore,Performance,802287.60,12982,505.133327,"Missing Parts "
2025-06-01,Exhaust,CURT,Marketplace,Performance,2600911.42,6662,3318.611926,"Ordered by Mistake "
2021-02-24,LED Light Bars,BAK,Web,Lighting,13103244.79,25822,8412.713255,"Ordered by Mistake "
2023-01-03,Lift Kits,TruXedo,Web,Suspension,6140471.60,12911,3942.380962,"Other "
2025-01-02,Floor Mats,K&N,Web,Interior,3642322.21,25822,2338.485810,"Missing Parts "
2021-04-12,Tonneau Covers,MagnaFlow,InStore,Exterior,2702722.58,12982,1701.693508,"Damaged "
2023-05-16,Tonneau Covers,Putco,InStore,Exterior,14079108.82,25964,8864.543981,"Late Delivery "
2019-01-16,Lift Kits,Husky Liners,InStore,Suspension,814101.22,25964,512.571488,"Wrong Item "
2024-01-13,Trailer Hitches,TruXedo,MobileApp,Towing,9535760.36,25942,6156.257496,"Other "
2021-02-03,NULL,WeatherTech,Web,Performance,12165131.53,12911,7810.413318,"Not as Described "
2021-06-13,Floor Mats,Tyger Auto,InStore,Interior,7158144.98,12982,4506.936300,"Better Price Found "
2022-06-28,Cold Air Intakes,CURT,InStore,Performance,6605760.88,25964,4159.141800,"Damaged "
2021-10-03,Exhaust,Westin,Marketplace,Performance,5698408.32,6662,7270.841976,"Changed Mind "
2019-06-12,Cold Air Intakes,Tyger Auto,MobileApp,Performance,2777869.36,12971,1793.379291,"Changed Mind "
2020-08-01,Running Boards,Putco,MobileApp,Exterior,1721121.99,25942,1111.145741,"Damaged "
2020-11-12,Exhaust,Rough Country,MobileApp,Performance,4087940.36,25942,2639.157986,"Ordered by Mistake "
2021-07-01,Running Boards,MagnaFlow,MobileApp,Exterior,5544064.82,25942,3579.228431,"Ordered by Mistake "
2019-08-22,Trailer Hitches,WeatherTech,Marketplace,Towing,4554809.40,6662,5811.674782,"Warranty Claim "
2020-01-09,Exhaust,TruXedo,MobileApp,Performance,11851862.12,25942,7651.527242,"Defective "
2023-07-11,Trailer Hitches,Putco,InStore,Towing,7483473.90,12982,4711.771311,"Better Price Found "
2019-03-24,Cold Air Intakes,WeatherTech,MobileApp,Performance,6071465.68,25942,3919.717125,"Missing Parts "
2022-06-01,Lift Kits,Tyger Auto,MobileApp,Suspension,411958.96,12971,265.953223,"Ordered by Mistake "
2020-04-18,Lift Kits,BAK,InStore,Suspension,13412483.12,25964,8444.820206,"Damaged "
2020-12-14,Exhaust,Westin,InStore,Performance,5427254.92,12982,3417.125657,"Late Delivery "
2019-11-24,Exhaust,K&N,Web,Performance,11909493.73,25822,7646.285296,"Better Price Found "
2020-05-27,Cold Air Intakes,TruXedo,Web,Performance,8675030.01,12911,5569.651894,"Changed Mind "
2023-10-01,LED Light Bars,Westin,Web,Lighting,10711611.15,25822,6877.204718,"Defective "
2024-07-19,Tonneau Covers,Tyger Auto,Web,Exterior,10169349.15,12911,6529.054524,"Better Price Found "
2020-12-09,Exhaust,Westin,InStore,Performance,6477628.54,25964,4078.466507,"Late Delivery "
2021-07-17,Lift Kits,TruXedo,InStore,Suspension,15268000.38,25964,9613.099127,"Not as Described "
2022-09-16,Running Boards,CURT,InStore,Exterior,4947699.84,12982,3115.186089,"Changed Mind "
2020-01-14,Running Boards,Rough Country,MobileApp,Exterior,8410655.82,25942,5429.892731,"Other "
2021-02-05,Cold Air Intakes,BAK,Web,Performance,13360302.80,12911,8577.753073,"Late Delivery "
2021-04-20,Cold Air Intakes,Westin,Web,Performance,6966904.71,25822,4472.978497,"Defective "
2019-10-24,LED Light Bars,Westin,InStore,Lighting,9580975.64,12982,6032.409580,"Ordered by Mistake "
2022-03-03,Floor Mats,CURT,InStore,Interior,8848661.02,25964,5571.326421,"Ordered by Mistake "
2025-07-24,Tonneau Covers,Putco,Marketplace,Exterior,3334464.24,13324,4254.583633,"Late Delivery "
2019-12-21,Trailer Hitches,MagnaFlow,MobileApp,Towing,1990659.37,25942,1285.158416,"Other "
2020-04-29,Exhaust,Westin,MobileApp,Performance,2140604.13,12971,1381.962421,"Better Price Found "
2020-06-08,Lift Kits,CURT,Web,Suspension,2129153.01,12911,1366.980735,"Wrong Item "
2024-03-21,Exhaust,Westin,Web,Performance,988078.83,25822,634.373071,"Other "
2020-01-05,Tonneau Covers,MagnaFlow,InStore,Exterior,5017543.00,12982,3159.161053,"Missing Parts "
2024-06-19,Floor Mats,WeatherTech,InStore,Interior,10345225.98,12982,6513.600243,"Defective "
2023-12-30,Running Boards,TruXedo,Marketplace,Exterior,717497.40,6662,915.482591,"Ordered by Mistake "
2022-02-10,Running Boards,CURT,MobileApp,Exterior,11315770.69,12971,7305.427917,"Other "
2022-07-14,Lift Kits,Putco,MobileApp,Suspension,4288731.44,25942,2768.788226,"Better Price Found "
2024-11-22,Floor Mats,MagnaFlow,Web,Interior,1085169.55,12911,696.708513,"Defective "
2023-11-05,Cold Air Intakes,Westin,InStore,Performance,10388326.22,12982,6540.737257,"Other "
2019-01-12,Cold Air Intakes,TruXedo,Marketplace,Performance,6376799.78,13324,8136.430928,"Not as Described "
2020-08-21,Trailer Hitches,Rough Country,Marketplace,Towing,592984.62,13324,756.611318,"Other "
2024-06-23,NULL,CURT,MobileApp,Performance,13841872.94,25942,8936.273399,"Other "
2019-06-01,NULL,CURT,Web,Performance,3560595.58,12911,2286.014508,"Not as Described "
2019-04-04,Trailer Hitches,Westin,InStore,Towing,5695073.58,12982,3585.750770,"Other "
2023-04-23,Lift Kits,Putco,Marketplace,Suspension,3968819.88,6662,5063.985393,"Damaged "
2021-02-07,Lift Kits,Husky Liners,InStore,Suspension,2489947.60,12982,1567.725262,"Ordered by Mistake "
2019-03-25,LED Light Bars,Rough Country,MobileApp,Lighting,12418565.11,12971,8017.389353,"Not as Described "
2024-10-29,Trailer Hitches,Tyger Auto,Web,Towing,11782320.38,25822,7564.635833,"Defective "
2024-04-24,LED Light Bars,Westin,InStore,Lighting,8220202.40,25964,5175.633548,"Defective "
2021-01-06,Floor Mats,Tyger Auto,MobileApp,Interior,7918536.08,25942,5112.181426,"Ordered by Mistake "
2023-04-09,Trailer Hitches,MagnaFlow,MobileApp,Towing,8077171.41,25942,5214.596010,"Late Delivery "
2024-11-21,Running Boards,Putco,MobileApp,Exterior,13449240.77,25942,8682.791028,"Changed Mind "
2024-09-18,Running Boards,Flowmaster,Web,Exterior,11585169.41,25822,7438.058286,"Other "
2025-05-28,Exhaust,K&N,Web,Performance,3985238.37,12911,2558.649369,"Not as Described "
2020-08-02,Running Boards,Rough Country,InStore,Exterior,2969502.68,25964,1869.664895,"Wrong Item "
2020-08-04,Floor Mats,Westin,InStore,Interior,2043366.80,12982,1286.547091,"Other "
2022-11-23,Cold Air Intakes,BAK,InStore,Performance,11811023.60,25964,7436.502236,"Late Delivery "
2024-03-25,Floor Mats,Westin,InStore,Interior,11530093.12,12982,7259.621476,"Defective "
2025-04-25,Lift Kits,Rough Country,InStore,Suspension,4510855.54,25964,2840.138244,"Ordered by Mistake "
2019-03-09,NULL,WeatherTech,Marketplace,Performance,7745707.54,13324,9883.079486,"Defective "
2024-05-30,Lift Kits,BAK,Marketplace,Suspension,7515268.96,6662,9589.052993,"Ordered by Mistake "
2022-03-16,Floor Mats,Flowmaster,MobileApp,Interior,8097017.04,25942,5227.408266,"Other "
2019-03-01,Floor Mats,WeatherTech,Web,Interior,12601265.11,25822,8090.425559,"Other "
2023-03-06,Cold Air Intakes,Westin,Web,Performance,12357505.43,25822,7933.923760,"Changed Mind "
2025-04-26,Exhaust,Westin,Web,Performance,9607204.21,25822,6168.138745,"Ordered by Mistake "
2024-10-21,Exhaust,Westin,InStore,Performance,2368565.90,12982,1491.300418,"Damaged "
2025-03-13,Lift Kits,Westin,InStore,Suspension,13014455.00,25964,8194.211920,"Other "
2022-01-05,LED Light Bars,Westin,MobileApp,Lighting,3298265.88,25942,2129.346105,"Missing Parts "
2024-02-07,Tonneau Covers,K&N,MobileApp,Exterior,8334775.47,12971,5380.904537,"Defective "
2024-07-12,Exhaust,CURT,MobileApp,Performance,2659444.13,12971,1716.924268,"Not as Described "
2025-07-11,Trailer Hitches,BAK,MobileApp,Towing,2679030.34,25942,1729.569064,"Late Delivery "
2020-02-28,Cold Air Intakes,K&N,Web,Performance,5421070.68,12911,3480.501572,"Wrong Item "
2020-12-28,Exhaust,Putco,Web,Performance,3669822.64,25822,2356.141940,"Late Delivery "
2020-12-31,Trailer Hitches,Westin,Web,Towing,4562618.29,12911,2929.346503,"Ordered by Mistake "
2023-09-04,Floor Mats,BAK,InStore,Interior,5017802.64,25964,3159.324493,"Ordered by Mistake "
2020-12-28,Floor Mats,Flowmaster,MobileApp,Interior,10637257.68,25942,6867.381538,"Other "
2022-06-07,Lift Kits,K&N,InStore,Suspension,12337573.52,12982,7768.030885,"Missing Parts "
2023-12-27,NULL,Husky Liners,InStore,Interior,13304862.34,25964,8377.059490,"Defective "
2024-06-28,Tonneau Covers,MagnaFlow,InStore,Exterior,12133756.12,12982,7639.702516,"Warranty Claim "
2020-11-09,Exhaust,Husky Liners,MobileApp,Performance,11279322.18,25942,7281.896817,"Warranty Claim "
